,qID,sentence,option1,option2,answer,slot_question,slot_answer,pred_answer
0,3FCO4VKOZ4BJQ6IFC0VAIBK4KTWE7U-2,Sarah was a much better surgeon than Maria so _ always got the easier cases.,Sarah,Maria,2,"() was a much better surgeon than Maria so _ always got the easier cases.
option1: ()
option2: Maria",Sarah,Ian
1,3FCO4VKOZ4BJQ6IFC0VAIBK4KTWE7U-1,Sarah was a much better surgeon than Maria so _ always got the harder cases.,Sarah,Maria,1,"Sarah was a much better surgeon than () so _ always got the harder cases.
option1: Sarah
option2: ()",Maria,Tom
2,3WUVMVA7ODHEES6GZOX75ABL4KQZAX-2,"They were worried the wine would ruin the bed and the blanket, but the _ was't ruined.",blanket,bed,2,"They were worried the wine would ruin the bed and the (), but the _ was't ruined.
option1: ()
option2: bed",blanket,wine
3,3B623HUYJ643USRN7YJLDQ8NQH38S9-1,Terry tried to bake the eggplant in the toaster oven but the _ was too big.,eggplant,toaster,1,"Terry tried to bake the eggplant in the () oven but the _ was too big.
option1: eggplant
option2: ()",toaster,Terry tried to bake the eggplant in the (small) oven but the () was too big.
4,3PN6H8C9R4OWH22DN8WAMK49Q4SADE-1,"At night, Jeffrey always stays up later than Hunter to watch TV because _ wakes up late.",Jeffrey,Hunter,1,"At night, Jeffrey always stays up later than () to watch TV because _ wakes up late.
option1: Jeffrey
option2: ()",Hunter,someone
5,3I7KR83SNCR5KEXP7HGXM0CNS7B9KA-1,"The cat of Sarah has some mouth problems, so she takes it to see Maria. _ is a responsible cat owner.",Sarah,Maria,1,"The cat of Sarah has some mouth problems, so she takes it to see (). _ is a responsible cat owner.
option1: Sarah
option2: ()",Maria,A veterinarian.
6,3W0KKJIARR7QCKF8IRYJU6T4KODK8J-1,The home that my parents had when I was in school was a lot nicer than my house now because the _ was sophisticated.,home,house,1,"The home that my parents had when I was in school was a lot nicer than my () now because the _ was sophisticated.
option1: home
option2: ()",house,apartment
7,3W0KKJIARR7QCKF8IRYJU6T4KODK8J-2,The home that my parents had when I was in school was a lot nicer than my house now because the _ is trashy.,home,house,2,"The () that my parents had when I was in school was a lot nicer than my house now because the _ is trashy.
option1: ()
option2: house",home,childhood home
8,3A520CCNWNY198GDJ37US2MULWXAE2-2,"Natalie has a rich husband and lots of money, Jennifer is poor _ needs to make her clothes.",Natalie,Jennifer,2,"() has a rich husband and lots of money, Jennifer is poor _ needs to make her clothes.
option1: ()
option2: Jennifer",Natalie,Jennifer
9,31KPKEKW4CRMVH5I18KBUMS42A0B0A-1,Joe immediately went to bakery before the bank because the _ had a limited supply of what he wanted.,bakery,bank,1,"Joe immediately went to bakery before the () because the _ had a limited supply of what he wanted.
option1: bakery
option2: ()",bank,"Joe immediately went to bakery before the () because the () had a limited supply of what he wanted.
option1: bakery
option2: (store)"
10,31KPKEKW4CRMVH5I18KBUMS42A0B0A-2,Joe immediately went to bakery before the bank because the _ had a substantial supply of what he wanted.,bakery,bank,2,"Joe immediately went to () before the bank because the _ had a substantial supply of what he wanted.
option1: ()
option2: bank",bakery,Joe immediately went to the pawn shop before the bank because the pawn shop had a substantial supply of what he wanted.
11,3SZYX62S5IEYOCOTLXE76F2Z0SJ754-2,"I had to read an entire story for class tomorrow. Luckily, the _ was canceled.",story,class,2,"I had to read an entire () for class tomorrow. Luckily, the _ was canceled.
option1: ()
option2: class",story,book
12,3SZYX62S5IEYOCOTLXE76F2Z0SJ754-1,"I had to read an entire story for class tomorrow. Luckily, the _ was short.",story,class,1,"I had to read an entire story for () tomorrow. Luckily, the _ was short.
option1: story
option2: ()",class,Reading
13,3XBXDSS88AX65GX5VXYCH3BLQWRXLG-1,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper could wait.,cafe,library,1,"He had enough time between classes to go to a cafe or to the (). He went to the _ because his paper could wait.
option1: cafe
option2: ()",library,library
14,3XBXDSS88AX65GX5VXYCH3BLQWRXLG-2,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper was due soon.,cafe,library,2,"He had enough time between classes to go to a () or to the library. He went to the _ because his paper was due soon.
option1: ()
option2: library",cafe,cafe
15,3UZUVSO3P99H5YO9049ZTR528PMMEY-1,Lindsey like to read graphic novels but Natalie liked classic literature to read. _ bought the new Frank Miller comic at the book store.,Lindsey,Natalie,1,"Lindsey like to read graphic novels but () liked classic literature to read. _ bought the new Frank Miller comic at the book store.
option1: Lindsey
option2: ()",Natalie,Luis
16,3FBEFUUYRMJCQIM5XJ0W8CIPXAWA64-2,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were new and perfect.,Michael,Leslie,2,"() just bought brand new wheels for his truck unlike Leslie because _ wheels were new and perfect.
option1: ()
option2: Leslie",Michael,Ian
17,3FBEFUUYRMJCQIM5XJ0W8CIPXAWA64-1,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were old and used.,Michael,Leslie,1,"Michael just bought brand new wheels for his truck unlike () because _ wheels were old and used.
option1: Michael
option2: ()",Leslie,"Michael
me"
18,3ZICQFRS31G0LBFHRI16U5ELIL1ZZI-1,"Leslie was nervous around parrots but Neil was not, since _ was bitten by a bird early in life.",Leslie,Neil,1,"Leslie was nervous around parrots but () was not, since _ was bitten by a bird early in life.
option1: Leslie
option2: ()",Neil,"Leslie
Ian"
19,38O9DZ0A62L8RQSU06VHAWBJSCR62K-2,Christmas was a special holiday to Eric but not Adam since _ was a Jew.,Eric,Adam,2,"Christmas was a special holiday to () but not Adam since _ was a Jew.
option1: ()
option2: Adam",Eric,Jacob
20,3DA79LNS5B9I8VYWKHTFWEWYDHS3TB-2,To make frosting I needed pudding that was at a store 15 minutes away but pre-made frosting was at a store 5 minutes away.  The _ was closer.,pudding,frosting,2,"To make frosting I needed () that was at a store 15 minutes away but pre-made frosting was at a store 5 minutes away.  The _ was closer.
option1: ()
option2: frosting",pudding,food coloring
21,37J05LC5AZXMCK4O1CLN7HV043PDJV-2,Benjamin was chosen instead of Brett to be the makeup artist for the play because _ was less experienced.,Benjamin,Brett,2,"() was chosen instead of Brett to be the makeup artist for the play because _ was less experienced.
option1: ()
option2: Brett",Benjamin,Olivia
22,32ZCLEW0B1YV1H7E6LCI7BCPIYWPJD-2,"Cynthia violated the rights of Amy, because _ had too much passivity with other people.",Cynthia,Amy,2,"() violated the rights of Amy, because _ had too much passivity with other people.
option1: ()
option2: Amy",Cynthia,Someone else
23,3D06DR5225HZLW8Q01VD5AR3ZF6AMC-1,"They had to eat a lot to gain the strength they had lost and be able to work, the _ was too much.",work,strength,1,"They had to eat a lot to gain the () they had lost and be able to work, the _ was too much.
option1: work
option2: ()",strength,strength
24,3D06DR5225HZLW8Q01VD5AR3ZF6AMC-2,"They had to eat a lot to gain the strength they had lost and be able to work, the _ was too little.",work,strength,2,"They had to eat a lot to gain the strength they had lost and be able to (), the _ was too little.
option1: ()
option2: strength",work,recover
25,3TFJJUELSJ3C1W02UVKKOUR1HSS2CY-1,"The roof of Rachel's home is old and falling apart, while Betty's is new. The home value of _ is lower.",Rachel,Betty,1,"The roof of Rachel's home is old and falling apart, while ()'s is new. The home value of _ is lower.
option1: Rachel
option2: ()",Betty,"option1: Rachel 
option2: () Dennis"
26,3PN6H8C9R4OWH22DN8WAMK49LKWAD9-1,All the clutter in the house excited Leslie but not Derrick because cleaning energized _ very much.,Leslie,Derrick,1,"All the clutter in the house excited Leslie but not () because cleaning energized _ very much.
option1: Leslie
option2: ()",Derrick,Leslie
